; China eventmsg.txt																	   
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"因为 [leader_name] 确实对您感到非常满意"
PHRASE_CONDENSED_building_project_overdue_P 			"超过最终期限了! 不过, 晚给 [city_name] 送去物资总比根本不送要好."
PHRASE_CONDENSED_building_project_warning_P 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_building_project_early_reason_P	  	"由于您提前送去了 [amount] [item]"
PHRASE_CONDENSED_building_project_comply_reason_P  		"由于您及时送去了 [amount] [item]"
PHRASE_CONDENSED_building_project_too_late_reason_P 	 	"由于您太晚才送去 [amount] [item]"
PHRASE_CONDENSED_building_project_refuse_reason_P	 	"由于您没有送去 [amount] [item]"
PHRASE_CONDENSED_building_project_no_reason_P			""


;******New Year's Festival*********************************************************
PHRASE_festival_hold_title                                            	"新年庆典通知"
PHRASE_festival_hold_initial_announcement                              	"噢, 伟大的 [player_name], 新年到了! 您愿意举行节日庆典, 让您的人民欢庆一下吗?"
PHRASE_festival_hold_no_reason                                          "N/A"

PHRASE_CONDENSED_festival_hold_title                                    "新年庆典通知"
PHRASE_CONDENSED_festival_hold_initial_announcement                     "[player_name], 新年到了! 您愿意举行节日庆典吗?"
PHRASE_CONDENSED_festival_hold_no_reason                                "N/A"

PHRASE_festival_no_hold_title                                           "今年没有节日庆典!"
PHRASE_festival_no_hold_initial_announcement                            "[player_name], 新年到了. 您不举行节日庆典, 不能向天上的神仙和我们的祖先表示敬意, 所以人们都很不高兴."
PHRASE_festival_no_hold_no_reason_people                                "[player_name], 新年到了. 唉, 城市中没有足够的人手 来举行一次象样的节日庆典. 希望明年..."
PHRASE_festival_no_hold_no_reason_cash                                  "[player_name], 新年到了. 您的城市太穷, 没有钱来支付节日庆典的费用. 也许明年可以?"
PHRASE_festival_no_hold_no_reason_food                                  "[player_name], 新年到了. 然而, 城市中的食物存量太低, 不能准备节日宴会. 真是可怜."
PHRASE_festival_no_hold_no_reason_venue                                 "[player_name], 新年到了. 如果在此之前您能记得 雇佣些娱乐人员就好了..."

PHRASE_CONDENSED_festival_no_hold_title                                 "悲伤的新年..."
PHRASE_CONDENSED_festival_no_hold_initial_announcement                  "您拒绝举行节日庆典."
PHRASE_CONDENSED_festival_no_hold_no_reason_people                      "城市人口太少."
PHRASE_CONDENSED_festival_no_hold_no_reason_cash                        "城市库存资金不够."
PHRASE_CONDENSED_festival_no_hold_no_reason_food                        "城市中没有足够的食物."
PHRASE_CONDENSED_festival_no_hold_no_reason_venue                       "城市中没有娱乐设施."

;******Great festival*********************************************************
PHRASE_great_festival_title_S 			"[city_name] 的节日"
PHRASE_great_festival_spy_report_S			"您好, [player_name]. 可靠的密探报告说, 在一年之内, 您的盟友 [city_name] 的领导者 [leader_name] 要为给他们城市带来繁荣的 [hero_name] 举办一次庆典. 我们已经发现, [leader_name] 希望您能送去 [amount] [item], 让庆典举办得更盛大隆重. 如果您能在明年之前送去那些物资, [leader_name] 将会对您赞不绝口!"
PHRASE_great_festival_initial_announcement_S	"最尊贵的 [player_name], 我需要您的帮助. 我, [city_name] 的 [leader_name], 正在着手准备为 [hero_name] 举办一次最盛大的庆典, 向 [hero_name] 表示我的感激之情. 如果您能送来 [amount] [item], 那我一定可以实现这个目标. 请在 [time_allotted] 个月内给我送来物资."
PHRASE_great_festival_reminder_S 			"您好, [player_name]. 我正在 [city_name] 为 [hero_name] 准备庆典, 不过我还没有收到您的 [amount] [item]. 请在六个月内送来, 那样 [hero_name] 就会知道我 [leader_name], 是多么感谢神对我的帮助."
PHRASE_great_festival_overdue_S 			"我是如此的失望, [player_name]. 我, [city_name] 的 [leader_name], 在没有您的帮助的情况下, 设法为 [hero_name] 举办一次庆典. 可是现在, 我的城市缺少 [amount] [item], 所以期望您的援助. 现在送来那些物资吧, 我会用它们充实我的仓库, 然后或许我就不会那么沮丧了."
PHRASE_great_festival_warning_S 			"我本来以为咱们是朋友, [player_name]. 我为 [hero_name] 举办庆典已经过去很久了... 不过如果您愿意表示友好, 现在送给我的城市 [city_name] [amount] [item], 我还是会感谢您的. 六个月内送出物资, 否则就不用再送来了."
PHRASE_great_festival_early_reason_S  		"由于您提前送来了 [amount] [item], 我为 [hero_name] 举办的庆典获得了巨大的成功,"
PHRASE_great_festival_comply_reason_S  		"由于您及时送来了用于给 [hero_name] 举办庆典的 [amount] [item],"
PHRASE_great_festival_too_late_reason_S 		"由于您过了很久才送来了用于给 [hero_name] 举办庆典的 [amount] [item],"
PHRASE_great_festival_refuse_reason_S 		"由于您拒绝送来用于给 [hero_name] 举办庆典的 [amount] [item], 我的心情非常糟糕. 因此,"
PHRASE_great_festival_no_reason_S			""

PHRASE_great_festival_title_D 			"[city_name] 的节日"
PHRASE_great_festival_spy_report_D			"您好, [player_name]. 您的忠诚的密探报告说, 在一年之内, 您的对手 [city_name] 和它的领导者 [leader_name] 计划给 [hero_name] 举办一次庆典. [leader_name] 将要求您送去 [amount] [item] 帮助他们庆祝. 如果提前送去这些物资, 可能会给 [leader_name] 留下深刻的印象."
PHRASE_great_festival_initial_announcement_D	"[player_name], 你这条三头狗, [time_allotted] 个月内给我 [amount] [item], 我要在 [city_name] 为 [hero_name] 举办庆典. 我, [leader_name], 已经说过了, 你要记好."
PHRASE_great_festival_reminder_D 			"听着, [player_name], 你这条九头蛇, 我可不是和你开玩笑, 我要在 [city_name] 为 [hero_name] 举办庆典, 你必须在六个月内送给我送来 [amount] [item], 否则我可能会想办法让你不得安生了."
PHRASE_great_festival_overdue_D 			"嗨, [player_name], 你这个不知深浅的家伙! 我要的 [amount] [item] 在哪儿? 我在 [city_name] 给 [hero_name] 举办的庆典已经开始了, 可是我却一直没有收到你的东西. 如果你知道怎么做对自己最好, 你就现在送东西过来 - 快点!"
PHRASE_great_festival_warning_D 			"真是无话可说! 你怎么能这样, [player_name]? 你这样一只不值一提的小跳蚤 居然不理睬我 [city_name] 城伟大的统治者 [leader_name]? 如果你不送来 [hero_name] 庆典上需要用的 [amount] [item], 那么你和你可怜的城市的末日就到了!"
PHRASE_great_festival_early_reason_D  		"由于你提前送来了我为 [hero_name] 举办庆典需要的 [amount] [item],"
PHRASE_great_festival_comply_reason_D  		"由于你及时送来了我为 [hero_name] 举办庆典需要的 [amount] [item],"
PHRASE_great_festival_too_late_reason_D 		"由于你过了很久才送来我为 [hero_name] 举办庆典需要的 [amount] [item],"
PHRASE_great_festival_refuse_reason_D 		"由于你拒绝送来我为 [hero_name] 举办庆典需要的 [amount] [item],"
PHRASE_great_festival_no_reason_D			""

PHRASE_great_festival_title_P 			"[city_name] 的节日"
PHRASE_great_festival_spy_report_P			"一个密探从遥远的地方, 带给您一条重要的消息: 在一年之内, 您的诸候城市 [city_name] 将要为 [hero_name] 举办一次盛大的庆典. 无能的 [leader_name] 一定会把事情搞糟, 最终他会发现自己的城市缺少 [amount] [item]. 如果您现在就送去这些物品, 庆典就能顺利举办, 而且 [leader_name] 一定也会对您感恩戴德."
PHRASE_great_festival_initial_announcement_P	"最值得尊敬的 [player_name], 我需要您的帮助. 我, [leader_name], 您谦恭的仆人, 正准备在我的城市 [city_name] 为 [hero_name] 举办一次盛大庆典. 可是我城内的 [item] 并不象我想象的那么多, 我担心如果我再得不到 [amount] 这种物品, 庆典就没法举办. 我希望您能在 [time_allotted] 个月内送来 [amount] [item], 那样我就可以顺利举办庆典."
PHRASE_great_festival_reminder_P 			"我非常紧张, 几乎夜不能寐, [player_name]. 我现在就靠您的慷慨了, 希望您能送来 [amount] [item], 帮助我顺利地在 [city_name] 为 [hero_name] 举办庆典. 请在六个月内送来物资, 那样我才能睡个好觉!"
PHRASE_great_festival_overdue_P 			"我真是寝食难安了, [player_name]! 因为您没有给我的城市 [city_name] 送来为 [hero_name] 举办庆典需要的 [amount] [item], 所以庆祝活动简直成了一场灾难. 我的市民都在抱怨. 或许我收到先前向您要求的 [amount] [item] 后, 市民们就不会再抱怨了."
PHRASE_great_festival_warning_P 			"或许我的痛苦就是您的快乐, [player_name]. 我知道我只是您的仆人, 但我仍然还是一个领导者, 应该得到一定的尊重. 请您在六个月内送来 [amount] [item], 我要用它们在 [city_name] 为 [hero_name] 举办庆典, 否则我不会原谅您."
PHRASE_great_festival_early_reason_P  		"由于您提前送来了我为 [hero_name] 举办庆典需要的 [amount] [item],"
PHRASE_great_festival_comply_reason_P  		"由于您及时送来了我为 [hero_name] 举办庆典需要的 [amount] [item],"
PHRASE_great_festival_too_late_reason_P 		"由于您过了很久才送来我为 [hero_name] 举办庆典需要的 [amount] [item],"
PHRASE_great_festival_refuse_reason_P 		"由于您抛弃了我, 没有送来我为 [hero_name] 举办庆典需要的 [amount] [item],"
PHRASE_great_festival_no_reason_P			""

PHRASE_CONDENSED_great_festival_title_S 				"N/A"
PHRASE_CONDENSED_great_festival_spy_report_S			"密探报告说 [city_name] 将需要物资用于庆典."
PHRASE_CONDENSED_great_festival_initial_announcement_S	"[city_name] 需要 [amount] [item] 用于庆典."
PHRASE_CONDENSED_great_festival_reminder_S 			"六个月内送给 [city_name] [amount] [item] 用于庆典."
PHRASE_CONDENSED_great_festival_overdue_S 			"超过最终期限了! 不过, 晚给 [city_name] 送去东西总比根本不送要好."
PHRASE_CONDENSED_great_festival_warning_S 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_great_festival_early_reason_S  		"由于您提前送去了 [amount] [item]"
PHRASE_CONDENSED_great_festival_comply_reason_S  		"由于您及时送去了 [amount] [item]"
PHRASE_CONDENSED_great_festival_too_late_reason_S 		"由于您太晚才送去 [amount] [item]"
PHRASE_CONDENSED_great_festival_refuse_reason_S 		"由于您没有给 [city_name] 送去 [amount] [item]"
PHRASE_CONDENSED_great_festival_no_reason_S			""

PHRASE_CONDENSED_great_festival_title_D 				"N/A"
PHRASE_CONDENSED_great_festival_spy_report_D			"密探报告说 [city_name] 将需要物资用于庆典."
PHRASE_CONDENSED_great_festival_initial_announcement_D	"[city_name] 索要 [amount] [item] 用于庆典."
PHRASE_CONDENSED_great_festival_reminder_D 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_great_festival_overdue_D 			"超过最终期限了! 不过, 晚给 [city_name] 送去东西总比根本不送要好."
PHRASE_CONDENSED_great_festival_warning_D 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_great_festival_early_reason_D  		"由于您提前送去了 [amount] [item]"
PHRASE_CONDENSED_great_festival_comply_reason_D  		"由于您及时送去了 [amount] [item]"
PHRASE_CONDENSED_great_festival_too_late_reason_D 		"由于您太晚才送去 [amount] [item]"
PHRASE_CONDENSED_great_festival_refuse_reason_D 		"由于您没有送去 [amount] [item]"
PHRASE_CONDENSED_great_festival_no_reason_D			""

PHRASE_CONDENSED_great_festival_title_P 				"N/A"
PHRASE_CONDENSED_great_festival_spy_report_P			"密探报告说 [city_name] 将需要 [amount] [item] 用于庆典."
PHRASE_CONDENSED_great_festival_initial_announcement_P	"[city_name] 请求 [amount] [item] 用于庆典."
PHRASE_CONDENSED_great_festival_reminder_P 			"六个月内送给 [city_name] [amount] [item]."
PHRASE_CONDENSED_great_festival_overdue_P 			"超过最终期限了! 不过, 晚给 [city_name] 送去物资总比根本不送要好."
PHRASE_CONDENSED_great_festival_warning_P 			"六个月内给 [city_name] 送去 [amount] [item]."
PHRASE_CONDENSED_great_festival_early_reason_P  		"由于您提前送去了 [amount] [item]"
PHRASE_CONDENSED_great_festival_comply_reason_P  		"由于您及时送去了 [amount] [item]"
PHRASE_CONDENSED_great_festival_too_late_reason_P 		"由于您太晚才送去 [amount] [item]"
PHRASE_CONDENSED_great_festival_refuse_reason_P 		"由于您没有送去 [amount] [item]"
PHRASE_CONDENSED_great_festival_no_reason_P			""

;******Financial Woes*********************************************************
PHRASE_financial_woes_title_S 				"[city_name] 出现财政问题"
PHRASE_financial_woes_spy_report_S				"一个令人尊敬的密探预见到: 您的同盟城市 [city_name] 及其领导者 [leader_name] 的前景将是一片萧条. 一年之内, [city_name] 会负债, 城内的工人将得不到工资. 如果您现在送去 [amount] 现金, 就能帮助 [leader_name] 避免这种命运."
PHRASE_financial_woes_initial_announcement_S		"最谦恭的朋友 [player_name], 我, [city_name] 的 [leader_name] 需要您的帮助. 我需要 [amount] 现金, 希望您能在 [time_allotted] 个月内送来现金, 弥补我城市的财政不足. 您知道我并不喜欢向您要钱, 但这次希望能依靠您."
PHRASE_financial_woes_reminder_S 				"求您了, [player_name], 别再让我向您开口了! 我, [city_name] 的 [leader_name], 还在等待您送来 [amount] 现金, 补充我那捉襟见肘的金库. 我的工人们都拿不到工资了, 他们已经开始不安. 请在六个月内送给我需要的资金."
